Y,X
10.79,116.74
11.80,116.60
12.81,116.47
13.82,116.36
14.83,116.26
15.85,116.16
16.86,116.07
17.87,115.97
18.88,115.81
19.88,115.61
20.88,115.61
21.89,115.76
22.90,115.94
23.91,115.99
24.92,115.85
25.93,115.73
26.94,115.78
27.96,115.78
28.96,115.67
29.97,115.48
30.99,115.47
32.00,115.56
33.02,115.61
34.04,115.61
35.05,115.57
36.07,115.53
37.09,115.51
38.10,115.51
39.12,115.52
40.13,115.51
41.15,115.47
42.17,115.44
43.18,115.45
44.19,115.49
45.21,115.55
46.23,115.59
47.24,115.56
48.24,115.39
49.22,115.05
50.21,114.74
51.19,114.84
52.17,115.12
53.17,115.26
54.18,115.27
55.20,115.22
56.22,115.19
57.23,115.18
58.25,115.20
59.26,115.23
60.28,115.25
61.30,115.26
62.31,115.25
63.33,115.21
64.34,115.13
65.35,115.04
66.37,114.95
67.38,114.89
68.40,114.89
69.41,114.97
70.42,115.08
71.44,115.15
72.46,115.13
73.47,115.08
74.49,115.09
75.51,115.12
76.53,115.12
77.55,115.07
78.56,115.07
79.57,115.20
80.58,115.36
81.59,115.41
82.61,115.35
83.63,115.35
84.62,115.55
85.62,115.74
86.63,115.71
87.65,115.62
88.67,115.59
89.68,115.68
90.68,115.88
91.67,116.13
92.67,116.32
93.69,116.32
